name,z,RA J2000,Dec J2000,catalog/source,ITC point source spatially integrated brightness [AB mag],ITC point source brightness band,ITC spectral distribution line wavelength [micron],catalog magnitude [Vega mag],catalog magnitude uncertainty [mag],ITC line flux [erg/s/cm^2],ITC line width FWHM [km/s],ITC continuum flux density [erg/s/cm^2/A],assumed EW_rest [A],notes/cautions,STARALT,Signal & SQRT,SN
J001115+144601,4.960000,00:11:15.24,+14:46:01.8,UKIDSS LAS AperMag3,17.908833,H,1.667608,16.529833,0.030630,5.020806E-15,4000.000000,2.808057E-17,30.000000,line flux는 실제 Mg II 측정값이 아니라 EW_rest 가정값으로 계산,J001115+144601 00:11:15.24 +14:46:01.8,,
J021043-001818,4.770000,02:10:43.16,-00:18:18.4,UKIDSS LAS AperMag3,19.159632,H,1.614446,17.780632,0.098871,1.535972E-15,4000.000000,8.873322E-18,30.000000,line flux는 실제 Mg II 측정값이 아니라 EW_rest 가정값으로 계산,J021043-001818 02:10:43.16 -00:18:18.4,,
J030437+004653,4.305000,03:04:37.21,+00:46:53.5,UKIDSS LAS AperMag3,19.838181,H,1.484339,18.459181,0.133525,7.559157E-16,4000.000000,4.749706E-18,30.000000,line flux는 실제 Mg II 측정값이 아니라 EW_rest 가정값으로 계산,J030437+004653 03:04:37.21 +00:46:53.5,,
J091824+063653,4.220000,09:18:24.38,+06:36:53.3,UKIDSS LAS AperMag3,18.539145,H,1.460556,17.160145,0.027614,2.46078E-15,4000.000000,1.57138E-17,30.000000,line flux는 실제 Mg II 측정값이 아니라 EW_rest 가정값으로 계산,J091824+063653 09:18:24.38 +06:36:53.3,,
J102623+254259,5.3,10:26:23.62,+25:42:59.44,,19.2,H,1.748750,,,1.39E-15,4000,7.44E-18,30,,J102623+254259 10:26:23.62 +25:42:59.44,,
J131121+222738,4.612000,13:11:21.32,+22:27:38.6,UKIDSS LAS AperMag3,19.908833,H,1.570238,18.529833,0.100267,7.492812E-16,4000.000000,4.45047E-18,30.000000,line flux는 실제 Mg II 측정값이 아니라 EW_rest 가정값으로 계산,J131121+222738 13:11:21.32 +22:27:38.6,,
J132512+112329,4.420000,13:25:12.49,+11:23:29.8,UKIDSS LAS AperMag3,18.740940,H,1.516516,17.361940,0.038244,2.121697E-15,4000.000000,1.304857E-17,30.000000,line flux는 실제 Mg II 측정값이 아니라 EW_rest 가정값으로 계산,J132512+112329 13:25:12.49 +11:23:29.8,,
J141212+062408,4.470000,14:12:09.97,+06:24:06.88,UKIDSS LAS AperMag3,19.349518,H,1.530506,17.970518,0.100947,1.222476E-15,4000.000000,7.44958E-18,30.000000,line flux는 실제 Mg II 측정값이 아니라 EW_rest 가정값으로 계산,J141212+062408 14:12:09.97 +06:24:06.88,,
J153533+025419,4.390000,15:35:33.88,+02:54:23.38,UKIDSS LAS AperMag3,19.571953,H,1.508122,18.192953,0.107396,9.814492E-16,4000.000000,6.069568E-18,30.000000,line flux는 실제 Mg II 측정값이 아니라 EW_rest 가정값으로 계산,J153533+025419 15:35:33.88 +02:54:23.38,,
J222032+002537,4.200000,22:20:32.49,+00:25:37.5,UKIDSS LAS AperMag3,19.290045,H,1.454960,17.911045,0.100276,1.227568E-15,4000.000000,7.869026E-18,30.000000,line flux는 실제 Mg II 측정값이 아니라 EW_rest 가정값으로 계산,J222032+002537 22:20:32.49 +00:25:37.5,,
J235758+140205,4.350000,23:57:58.55,+14:02:01.83,UKIDSS LAS AperMag3,19.814684,H,1.496930,18.435684,0.139351,7.790053E-16,4000.000000,4.853615E-18,30.000000,line flux는 실제 Mg II 측정값이 아니라 EW_rest 가정값으로 계산,J235758+140205 23:57:58.55 +14:02:01.83,,
